tarefas,prioridade p,edf,sjf,fifo,rr,prioridade np,ug,vf mediana,vf media,vf media intervalo,vf min,vf max
261,997.5673351977828,1906.2563363326115,410.61274468769705,1542.3254676618594,886.2281469629185,1098.6802836325073,1012.3577597621141,467.3113917730105,466.481924942507,466.0555652463791,464.0100951648715,470.89796845077876
372,1582.4586354153755,80.25373350480274,667.4611342992681,1117.8259584831774,1441.5525682117197,1028.9914438508602,822.5150753398717,764.5254565037401,757.9039579944777,755.3663989385807,753.2631299372716,766.5605560395653
143,660.5146540335817,554.1421640101287,282.5896170559555,1458.259422319125,606.0096617850044,852.8130212697539,866.4158985999264,330.85880665029566,330.79775718905995,330.2208341121369,328.47506653314355,331.87534229817624
203,834.2510311975259,1843.2734469297225,339.982654155405,915.2922927045803,752.8567516991053,430.26767961031254,1679.792815536898,394.3147938586623,392.1502921813091,392.53469066133783,390.42139016872704,395.63369737164993
351,1463.5038788463182,650.781236431135,637.0696606820834,957.6327260938897,1391.2890888128027,1782.7434687847874,446.7935567872574,726.3652878321034,724.3887088987581,723.3045346913725,720.9409869543676,731.4045841996458
270,1088.7610857864904,864.7658613824842,466.9933440146259,285.0503100169556,1024.2569878853403,748.8366819735677,1080.6948578962258,539.3784403355623,536.6271600585704,534.5857589112024,532.1606264467653,543.8048228152554
22,89.51022759794313,354.4886330739539,40.947414696713494,983.6227240552852,82.61150344830521,534.5364869066135,1187.3118387192367,55.55196015125893,55.55196015125893,55.55196015125893,55.55196015125893,55.55196015125893
176,842.1508490386806,508.1187711576309,293.7093485191897,1233.4645849311355,638.7658338256601,1482.9120560192687,250.70345911449957,344.2116447879082,341.5026522471811,341.41015455105963,339.92398742047124,344.55135966053604
38,197.79405187684088,589.4662626456245,81.11932288995506,99.91003276027699,167.28724298011136,78.0533239069833,1142.5101416561997,105.55834360409149,105.88511236363938,104.95044886724936,104.95044886724936,106.30464143493424
148,438.86387293167536,1490.7554349612049,201.36882460909706,1654.7291984808178,429.116501056477,309.42580411160037,1509.9373569431834,234.63430305791144,232.80374949349002,231.82015094330853,232.09205527376335,235.21688365107036
268,1138.8707148928977,1501.3864670402852,469.36286588008005,58.92452470993673,1019.8480605382158,134.99679932597587,957.676086924192,543.742673709509,539.7777300037508,539.0355713887345,538.4610420891487,544.9470714609299
411,1896.8787684347715,1936.629975148829,857.2849759096293,1721.3702355295804,1849.7004525166856,1520.7458200773879,1468.9845506340898,978.2230481312217,973.6051691321788,970.91249026695,967.2895599985778,981.0250119386444
417,1601.696924506285,175.48569242445922,693.3799290210445,282.004618390057,1508.1209749921916,1741.2626121233488,398.7530557817268,793.6974808082432,784.2020639250032,781.9978651342354,781.0657728011861,795.6855165679757
329,1327.2530352034166,1174.4596914291608,568.891231429792,400.8071100387106,1229.3167283864443,719.4099381118966,1482.2541159091538,651.3590347196049,646.486061453208,648.3008817960861,643.5615534104169,654.8267137778857
390,1395.8809990587185,1786.8712239615265,556.1663339398999,1107.7361896557359,1195.0531218781232,798.8868045910496,934.1826479395683,632.8177723258356,626.0336495513421,625.3797839155187,624.3989201406365,634.1422216292616
113,452.89079132099835,1266.411116636855,191.51370522921368,370.8730893973407,416.032051108894,1657.5664027298126,375.94933933247336,229.08707219241106,229.05257832000308,229.1638201857616,227.73284673443416,230.4012314844464
486,1937.761870249646,864.9616566094178,780.1111835225722,433.8479360415728,1700.1548749089163,1756.6915660889833,1321.764001605435,891.1250492534491,878.1062161357918,877.150029262517,872.4516155265122,893.4491508182264
323,1336.1492021467243,1258.6264199318216,600.6318806345682,855.4326674361112,1317.082932775365,1699.9697319102934,1248.3069034014795,692.0323140237225,685.4676747703154,685.1071850237028,683.5785758918744,692.2245676441423
216,869.1968171900684,339.8895484196919,370.10264455095825,967.1168759246452,812.271209906962,830.1677761990024,1255.505737817373,429.3040608603952,426.476086156628,425.65833223237485,423.8802385909408,428.9512402569039
411,1584.2007771573503,110.92910059925094,679.2831275620936,480.1313317426802,1491.4439199015135,1685.5224104395895,1003.1634760979879,775.4443119164569,770.1276942203264,768.3451432368249,765.7787171423771,782.8524605310288
418,1677.9948901171622,2021.4144431296163,723.6993390693145,1620.6838324484972,1593.6868821056253,1319.8855074920357,898.4652256279614,822.1037606497698,816.095424023075,817.2449135656686,812.618597776195,823.7234896990541
496,2225.505224219773,1859.8547556498577,957.8563711093292,1328.22314597998,2105.8983002253894,1230.9710763326589,518.4882731734014,1089.7038038922155,1081.3347526821824,1081.812707449017,1078.7032030076966,1090.1546127231372
344,1346.0572223551792,1901.0673841171774,564.7709877217701,889.2400794452194,1221.5437673566944,1227.0622005800117,624.9337079992792,641.1668793992758,639.2285766626545,638.422041162772,635.8786475448354,645.6516753624559
289,1054.4391691870057,548.7123986146275,430.41238800022506,1111.4030265374683,936.3424795999525,1674.2959898508243,298.96258680870454,493.34901196272256,491.7599960807841,489.09594337392645,489.0870863499172,494.612099220658
321,1319.5869329618959,1950.723778274947,578.1976339622669,621.3567472605208,1275.3986177766594,1177.4430794160098,517.8411891856263,659.2099650269323,654.9569257679303,654.913658645357,651.9755814235169,661.1966117165217
310,1212.9002297259938,210.6305951851704,524.9656180822017,392.1619852731802,1146.4361045135097,1106.871259532487,1308.7933930630065,603.0972990301658,596.3618364450333,597.4435113981358,594.7671907595068,600.3763958976649
248,1101.1875917682175,908.3829704050402,493.0909880866907,1104.7309907777164,1086.378082571714,1492.0902889164945,871.8417507112694,567.8395818112815,565.9039849393235,566.0825056377532,563.0968592660429,571.3045555743668
425,1557.2160283538392,1964.6291198592185,710.4467988452569,446.3958244781232,1551.0002909095317,625.0152757751835,1468.8515246622158,806.0566696298104,798.2138323317087,797.7850977334926,796.5225938769884,808.2284687725584
448,1678.9250804389737,232.37456733312658,713.7765912237128,124.56722373943073,1545.1786586129508,1729.5248335167698,751.0860755538632,807.3591034824403,800.2431742656998,799.0148224839797,796.0118456297369,808.5401009275689
458,1864.4427709977758,1814.2727706748403,784.270355319583,247.43579857912567,1730.7826949022121,131.2457215142187,1811.0954162973696,896.0772050756767,885.361389361149,883.2013750030004,881.5049733507108,897.8617528210557
355,1451.9438680942105,1769.2317070561423,619.5194394369197,1144.3825324510537,1350.4457134977101,894.9023693331701,1242.7789197912573,708.5086094026639,704.5316900124183,702.8601374686775,700.988605209385,711.3345036413301
449,2009.5603518084945,2111.442562277541,842.1848674682861,1097.0417186773398,1841.5160897191488,1498.0527203149393,349.1237370314175,959.7413637105982,952.7596399929291,951.7080837393444,948.9410590478363,964.2898190807206
346,1448.6019164025586,1818.1593583007077,620.7132234230354,1535.768804161282,1365.902943722395,828.7754832816959,1937.2582767563372,709.071700051406,704.3045294265538,704.1213861928226,701.2345414380492,714.0360756672885
482,1947.2637280641227,327.7475274201871,831.0797013591337,740.8403313439358,1801.2615266184234,1425.6582480911325,762.3053435945557,944.8058897384718,934.6338415119984,932.3776197609976,932.3738184281124,949.5784156649929
473,1956.7271043635817,1779.448548430722,774.114773159921,1367.8586033680813,1664.0194512822277,28.546431445478767,1614.96773409129,878.2295468660647,870.7802056375451,870.2300947317718,867.3819651101848,881.4712404244601
