tarefas,FIFO,RR,EDF,PRIORIDADE P, PRIORIDADE NP,SJF,UG,VF MED INTERVALO,VF MIN
51,337.5718962106701,456.1769135804269,390.3874080439949,390.3874080439949,353.39564819536207,208.5718830940803,386.09138394845286,271.7319009214206,270.69660680377353
52,280.99098304101193,330.9476547391614,307.0508700772199,307.0508700772199,278.7541918295257,148.5825703217806,303.3235495468385,190.269738126331,189.88896889556176
53,319.11320737223645,382.24203107339474,350.3998399590604,350.3998399590604,314.31346893083344,172.66211069455562,337.96649329515736,223.48007833903966,221.98573871639817
54,311.945632956265,394.4912420477079,397.26222524380205,397.26222524380205,290.78573571987005,177.83721102404712,315.89622925967234,228.47372219888751,227.8626110877764
55,356.8887596665409,440.7077031102684,395.45591859714955,395.45591859714955,361.8392851821735,200.57378238720597,395.2672879059732,261.10287329629693,260.6896756629896
56,284.1810752833381,402.0337501597991,366.4544549243842,366.4544549243842,330.08682365308835,190.10576952217335,359.7171654346451,237.24591887657851,236.8334188765785
57,364.19222200314056,481.79950422645913,398.8753270040889,398.8753270040889,358.1262394998911,218.260249159945,388.7548470471788,277.09354930466196,277.4602832719753
58,321.68936303656136,424.0115831807444,377.80736511867127,377.80736511867127,313.68019593580624,195.78810299735994,340.79266692520673,249.16916572809296,248.48640710740335
59,357.30414635812275,474.35354759326015,396.2468498258585,396.2468498258585,350.9641428347403,219.51527377202538,381.91628276430356,275.1222475447822,274.7866543244432
60,277.5442297244766,392.76022038028566,380.7808753687886,380.7808753687886,299.0027881375472,181.97248634301235,328.8516407956758,230.4650767333783,230.13507673337833
61,405.3585955556462,521.7912069620608,418.8930914339017,418.8930914339017,401.72250558587734,237.6911634845844,440.08290821031835,302.0986398526635,302.31503329528647
62,419.5428829185241,593.0701809370453,545.7859830023557,545.7859830023557,416.7180854198902,271.322842485284,453.1268516842517,348.8837158574062,344.9982319864385
63,393.93868179861084,454.8969015977604,419.96384771884186,419.96384771884186,362.31767413186645,204.45867040645817,390.0356302976094,259.371988527722,260.5311286705156
64,361.489407537425,412.36921810270434,407.72606105807466,407.72606105807466,385.630703484026,194.20023453124938,418.719432154361,247.7182378542617,249.0073003542617
65,348.7948429237324,420.8415486320135,425.007355328462,425.007355328462,350.01214242214473,192.18830053284472,383.00211980637323,241.2636851482294,241.2756089632506
66,383.77965929170125,487.52435161168046,429.3489958832807,429.3489958832807,354.4377371304661,218.45495793651725,385.46474541352563,277.5119123709162,276.26860533825675
67,329.08227316936103,490.8876345245986,410.8230130930847,410.8230130930847,392.81851534164826,228.19707728633423,430.5636711064782,288.22531299981733,287.4372532983248
68,438.75897156554555,543.1142466711,418.1530170057372,418.1530170057372,400.2978346147239,246.3329658293825,431.7021711521779,307.72885007063996,306.2729677176988
69,387.6569977207251,465.5863558786,465.66082760863605,465.66082760863605,345.4434520150982,213.40140226767738,374.51829124705404,267.7014022676772,268.32314139811194
70,406.52715373455203,552.7273269342706,524.4919991983093,524.4919991983093,437.3130208114681,253.24042203938822,473.910439012795,318.2312947945804,318.372723366009
71,470.8722889390312,677.7997805656373,545.4579049867043,545.4579049867043,507.021722863916,312.8524353441745,553.6842814824673,387.5653749697233,387.3794594767655
72,419.2249141441243,595.6295008184046,516.6614937006932,516.6614937006932,445.4861401727163,277.6781416061324,482.442677758527,344.3498240284282,343.4831834521692
73,494.23841143875467,619.2936718168899,578.1315534615719,578.1315534615719,421.38460942724316,282.9656785479234,454.2667326888841,353.6860075026558,351.69696640676534
74,483.68123926945503,658.0658151426261,529.5494579773776,529.5494579773776,513.276413457881,302.38778309674893,558.957904237784,374.9152218715151,374.6922488985421
75,475.9104805425152,591.0713386637915,555.3237906643146,555.3237906643146,446.71902581420505,271.0528351934638,486.2562325242403,340.29245878131195,337.828458781312
76,535.0830119479953,658.7154544723686,573.1728514193396,573.1728514193396,500.13601711700915,296.1109309214424,539.1255968645867,369.9267203951259,367.79908881617854
77,497.3260770779541,754.5447647691379,600.2175080940447,600.2175080940447,518.2100615893091,343.68122539670827,566.800394395621,420.82408253956453,419.6669396824217
78,457.96636596278285,575.2025704448729,470.79946790721425,470.79946790721425,412.98144746694487,265.88567519264467,449.3970554403814,323.5975614411292,322.11552683816814
79,464.8210289001023,612.8088798955098,547.9925998955649,547.9925998955649,479.77564817262095,279.79806739290507,523.8909499200997,347.4275677104808,347.1351626471896
80,465.58730652373436,605.0312565673878,548.2946782001279,548.2946782001279,482.41342652353603,276.63833916811666,530.705236302527,346.8112169317983,344.9137169317984
81,528.8034667901578,665.5148620420246,559.8564003035744,559.8564003035744,532.4776017096879,302.29326009327013,580.6630606241719,379.54670006153174,377.9170704319022
82,509.3982007484361,573.5081195106042,561.6326487841618,561.6326487841618,470.1326246400927,258.9866692123051,507.14979620133727,323.41661632797224,322.9921798296843
83,544.3053056104156,682.8029278043523,609.5932800673914,609.5932800673914,539.7480576795457,308.0318751189691,587.0243830825533,383.6628398536765,383.73129370003875
84,522.8281543113321,699.3059444142247,579.5650262172751,579.5650262172751,527.1464095809466,318.6948164152716,575.0869837087646,393.38140271815513,393.6956884324407
85,516.0355672028567,669.3084482840446,610.2009401951701,610.2009401951701,493.4333579840806,304.18606672253276,536.463757989144,373.7723167689045,373.2662655990246
86,617.6649284862245,792.9456221451973,698.8485526778259,698.8485526778259,551.4995961584209,357.99182185644526,598.5504129254731,439.5945960061295,436.8318053084551
87,462.5623709183572,564.1965542251554,552.9468178045224,552.9468178045224,447.0671951861072,256.0276642416039,487.11148458055084,312.951873715609,311.09188801390803
88,553.9550951129156,730.5770713091769,588.1946306415523,588.1946306415523,505.00346028272367,329.83169230017245,548.0917398516062,401.36262506930666,400.2001250693066
89,434.1656277832817,576.6019248199269,483.9583033189879,483.9583033189879,478.0211654354181,263.088659867563,522.7822948776727,319.8727645932949,319.23585087879854
90,485.1169077132627,582.9500661694534,531.4291010455461,531.4291010455461,461.03081587418427,264.34435207489884,501.4981753271842,322.9699456992125,322.0592015710026
91,477.9883730375463,593.3603609662657,589.4095564870403,589.4095564870403,493.62100903615413,273.50621520889183,535.3154835781139,333.5822457231941,333.3969772352873
92,656.5940303734382,756.761158706061,657.0886880584192,657.0886880584192,611.6250252685759,338.2023876091136,660.443112607631,423.8144703450539,421.8775138233147
93,576.2909298498876,746.8536936137443,651.9776009508614,651.9776009508614,546.9049752171265,336.66928103100037,588.3005773695224,414.7787574522351,414.38843487158994
94,550.215182329276,695.3356894463352,602.0197819074284,602.0197819074284,591.187337132876,313.14358614877534,644.1227033060665,383.94411525177986,383.8739024858224
95,566.8027565673043,769.6437060862871,667.1834139905076,667.1834139905076,545.0095562861006,350.4361446297096,592.9397872589508,429.41740165625197,427.8195069194097
96,539.7936183560201,672.1528354219789,606.1121710836693,606.1121710836693,536.183404657784,304.4992213607064,580.9600243962576,368.94129203713175,366.26657899325886
97,545.2286392333539,690.7680749205356,705.1812833385311,705.1812833385311,511.89280881933985,317.0279879754283,557.3868771618559,390.24294848334915,388.9692250888293
98,588.6323711410834,812.0564128399707,754.3669911528905,754.3669911528905,647.0531199656218,373.5655390486691,700.9401492990426,455.87113917816237,455.6690983618358
99,517.2357556094333,666.7788641520445,599.3307519213258,599.3307519213258,541.6206962577788,301.8539154174389,587.9190465762501,362.1036985164643,360.68368180480167
100,683.5790729406712,867.800749328058,830.22406499815,830.22406499815,614.8537391978024,394.8573777095782,667.2865310852559,480.1880432318063,480.52442155620867
